symbol,company_name,exchange,refresh_tier,last_price_date,active
AAPL,Apple Inc.,NASDAQ,1,2026-05-26,true
MSFT,Microsoft Corporation,NASDAQ,1,2026-05-26,true
NVDA,NVIDIA Corporation,NASDAQ,2,2026-05-24,true
AMD,Advanced Micro Devices Inc.,NASDAQ,2,2026-05-25,true
MU,Micron Technology Inc.,NASDAQ,2,2026-05-23,true
ACMR,ACM Research Inc.,NASDAQ,3,2026-05-22,true
INTC,Intel Corporation,NASDAQ,3,2026-05-22,true
ETR:AIXA,Aixtron SE,ETR,3,2026-05-20,true
BRK.B,Berkshire Hathaway Inc. Class B,NYSE,3,2026-05-20,true
NASDAQ:GOOGL,Alphabet Inc. Class A,NASDAQ,3,2026-05-20,true
AER,AerCap Holdings N.V.,NYSE,3,2026-05-20,true
BLK,BlackRock Inc.,NYSE,3,2026-05-20,true
AMZN,Amazon.com Inc.,NASDAQ,3,2026-05-20,true
BAC,Bank of America Corporation,NYSE,3,2026-05-20,true
LLY,Eli Lilly and Company,NYSE,3,2026-05-20,true
ENVA,Enova International Inc.,NYSE,3,2026-05-20,true
MP,MP Materials Corp.,NYSE,3,2026-05-20,true
KB,KB Financial Group Inc.,NYSE,3,2026-05-20,true
LHX,L3Harris Technologies Inc.,NYSE,3,2026-05-20,true
TSE:FFH,Fairfax Financial Holdings Limited,TSE,3,2026-05-20,true
GM,General Motors Company,NYSE,3,2026-05-20,true
TLN,Talen Energy Corporation,NASDAQ,3,2026-05-20,true
SKYW,SkyWest Inc.,NASDAQ,3,2026-05-20,true
TSE:IMG,IAMGOLD Corporation,TSE,3,2026-05-20,true
IAG,IAMGOLD Corporation,NYSE,3,2026-05-20,true
MELI,MercadoLibre Inc.,NASDAQ,3,2026-05-20,true
ETR:RHM,Rheinmetall AG,ETR,3,2026-05-20,true
GOLD-ETFP,GOLD-ETFP,ETF,3,2026-05-20,true
AXNQF,AXNQF,OTC,3,2026-05-20,true
